pve estimate =9.9999e-06	se(pve) =0.0181
pve estimate =9.9999e-06	se(pve) =0.0975171
pve estimate =0.0345949	se(pve) =0.0511039
pve estimate =0.0310631	se(pve) =0.0361389
pve estimate =9.9999e-06	se(pve) =0.0558006
pve estimate =9.9999e-06	se(pve) =0.0463953
pve estimate =9.9999e-06	se(pve) =0.0225607
pve estimate =9.9999e-06	se(pve) =0.0760121
pve estimate =9.9999e-06	se(pve) =0.0652735
pve estimate =9.9999e-06	se(pve) =0.0314251
pve estimate =0.0453626	se(pve) =0.0516547
pve estimate =0.0515169	se(pve) =0.0559761
pve estimate =9.9999e-06	se(pve) =0.0192743
pve estimate =9.9999e-06	se(pve) =0.0518949
pve estimate =9.9999e-06	se(pve) =0.0651237
pve estimate =0.0239253	se(pve) =0.0505077
pve estimate =0.0399693	se(pve) =0.0473136
pve estimate =9.9999e-06	se(pve) =0.0905527
pve estimate =9.9999e-06	se(pve) =0.023384
pve estimate =0.00509124	se(pve) =0.0287187
pve estimate =9.9999e-06	se(pve) =0.0452323
pve estimate =9.9999e-06	se(pve) =0.0175499
pve estimate =9.9999e-06	se(pve) =0.11111
pve estimate =0.0497471	se(pve) =0.0665087
pve estimate =9.9999e-06	se(pve) =0.0282169
pve estimate =0.129798	se(pve) =0.0905991
pve estimate =0.0323943	se(pve) =0.121793
pve estimate =0.00322635	se(pve) =0.0181592
pve estimate =0.0846771	se(pve) =0.0721673
pve estimate =0.0271091	se(pve) =0.0499755
pve estimate =9.9999e-06	se(pve) =0.0229375
pve estimate =9.9999e-06	se(pve) =0.052345
pve estimate =0.00596933	se(pve) =0.0444222
pve estimate =9.9999e-06	se(pve) =0.0338955
pve estimate =9.9999e-06	se(pve) =0.0468997
pve estimate =0.00170171	se(pve) =0.0453953
pve estimate =9.9999e-06	se(pve) =0.204836
pve estimate =9.9999e-06	se(pve) =0.0440246
pve estimate =9.9999e-06	se(pve) =0.0371088
pve estimate =0.00875489	se(pve) =0.0334923
pve estimate =9.9999e-06	se(pve) =0.0442421
pve estimate =9.9999e-06	se(pve) =0.0420571
pve estimate =0.00526068	se(pve) =0.0206222
pve estimate =0.0517609	se(pve) =0.0569963
pve estimate =0.00699743	se(pve) =0.0457693
pve estimate =0.0109375	se(pve) =0.0373809
pve estimate =0.0432293	se(pve) =0.0672306
pve estimate =0.0278284	se(pve) =0.075817
pve estimate =9.9999e-06	se(pve) =0.0303735
pve estimate =9.9999e-06	se(pve) =0.0485514
pve estimate =0.0298297	se(pve) =0.0585628
pve estimate =0.0508629	se(pve) =0.0523944
pve estimate =0.0421687	se(pve) =0.0482033
pve estimate =0.0231933	se(pve) =0.0450035
pve estimate =9.9999e-06	se(pve) =0.0251951
pve estimate =9.9999e-06	se(pve) =0.0612206
pve estimate =9.9999e-06	se(pve) =0.139394
pve estimate =9.9999e-06	se(pve) =0.0195965
pve estimate =0.0344146	se(pve) =0.0431923
pve estimate =0.0778301	se(pve) =0.0470343
pve estimate =9.9999e-06	se(pve) =0.0438765
pve estimate =0.0229587	se(pve) =0.0489708
pve estimate =9.9999e-06	se(pve) =0.0817598
pve estimate =9.9999e-06	se(pve) =0.032261
pve estimate =9.9999e-06	se(pve) =0.0416564
pve estimate =9.9999e-06	se(pve) =0.113245
pve estimate =0.0200055	se(pve) =0.0506384
pve estimate =0.121346	se(pve) =0.0716928
pve estimate =0.14528	se(pve) =0.0755832
pve estimate =9.9999e-06	se(pve) =0.0139024
pve estimate =0.00457217	se(pve) =0.0382775
pve estimate =0.0238443	se(pve) =0.0370081
