"plant_ID","strain_ID","line","exp","chloro1","height1","leaf1","chloro2","height2","leaf2","nod","nod.weight","shoot","root","rack","pos","type","add","strains","region","pop","plant_origin","lat","long","line_exp","soil","compat"
"167","36","DZA","1",40.5,3.1,4,41.4,NA,NA,30,2.9,0.58,0.54,"F2","7","treated","MAG","MAG36","FRANCE","5","F66009",42.82301667,2.9269,"DZA_1","5",1
"176","38","DZA","1",NA,3.9,5,46.2,NA,NA,56,3.1,0.43,0.28,"B7","9","treated","MAG","MAG38","FRANCE","6","F20089",42.74198333,2.81485,"DZA_1","6",1
"290","38","DZA","1",44.4,3.2,7,35.6,NA,NA,84,2.6,0.52,1.21,"C12","10","treated","MAG","MAG38","FRANCE","6","F20089",42.74198333,2.81485,"DZA_1","6",1
"458","38","DZA","1",49.2,5.2,5,42,NA,NA,50,1.7,0.59,1.16,"E1","8","treated","MAG","MAG38","FRANCE","6","F20089",42.74198333,2.81485,"DZA_1","6",1
"9","39","DZA","1",48.4,4.3,5,48.6,NA,NA,23,1.8,0.5,0.52,"C8","2","treated","MAG","MAG39","FRANCE","4","F20089",43.122,3.095283333,"DZA_1","4",1
"159","39","DZA","1",42.5,3.9,4,43.5,NA,NA,49,2.6,0.22,0.21,"A10","2","treated","MAG","MAG39","FRANCE","4","F20089",43.122,3.095283333,"DZA_1","4",1
"663","39","DZA","1",53.2,4.2,5,43.6,NA,NA,41,2.5,1.02,0.92,"E12","7","treated","MAG","MAG39","FRANCE","4","F20089",43.122,3.095283333,"DZA_1","4",1
"200","40","DZA","1",47.9,NA,NA,39.3,NA,NA,58,1.2,0.29,0.1,"D11","8","treated","MAG","MAG40","FRANCE","3","ESP174",43.12226667,3.077066667,"DZA_1","3",1
"259","40","DZA","1",43.6,3.6,8,38.1,NA,NA,75,1.8,0.56,0.47,"A3","9","treated","MAG","MAG40","FRANCE","3","ESP174",43.12226667,3.077066667,"DZA_1","3",1
"408","40","DZA","1",37.7,4,7,40.1,NA,NA,76,1.1,0.43,0.92,"C9","7","treated","MAG","MAG40","FRANCE","3","ESP174",43.12226667,3.077066667,"DZA_1","3",1
"27","41","DZA","1",45,4.3,7,43.4,NA,NA,36,1.5,0.7,1.34,"E7","5","treated","MAG","MAG41","FRANCE","6","F20089",42.74205,2.814916667,"DZA_1","6",1
"359","41","DZA","1",45,4.3,5,41.4,NA,NA,61,4.2,0.51,1.12,"D3","4","treated","MAG","MAG41","FRANCE","6","F20089",42.74205,2.814916667,"DZA_1","6",1
"665","41","DZA","1",48,3.9,7,39.8,NA,NA,40,2.7,0.4,0.25,"B6","3","treated","MAG","MAG41","FRANCE","6","F20089",42.74205,2.814916667,"DZA_1","6",1
"191","42","DZA","1",43.2,4.3,6,42.2,NA,NA,38,2.3,0.29,0.1,"A11","1","treated","MAG","MAG42","FRANCE","6","F20089",42.74205,2.814916667,"DZA_1","6",1
"423","42","DZA","1",46.5,3.7,4,40.6,NA,NA,84,2.6,0.33,0.27,"D2","1","treated","MAG","MAG42","FRANCE","6","F20089",42.74205,2.814916667,"DZA_1","6",1
"560","42","DZA","1",44.5,4.4,6,41.7,NA,NA,27,1.1,0.49,1.06,"E6","9","treated","MAG","MAG42","FRANCE","6","F20089",42.74205,2.814916667,"DZA_1","6",1
"121","43","DZA","1",52.1,4.4,5,51.4,NA,NA,49,1.8,0.7,1.15,"D8","2","treated","MAG","MAG43","FRANCE","4","F20089",43.122,3.095283333,"DZA_1","4",1
"539","43","DZA","1",41.5,4.7,6,47.1,NA,NA,42,1.7,0.6,0.54,"C3","6","treated","MAG","MAG43","FRANCE","4","F20089",43.122,3.095283333,"DZA_1","4",1
"556","43","DZA","1",45.5,5.4,5,44.3,NA,NA,36,1.7,0.42,0.33,"A2","7","treated","MAG","MAG43","FRANCE","4","F20089",43.122,3.095283333,"DZA_1","4",1
"352","46","DZA","1",53,3.9,6,41.7,NA,NA,53,2.5,0.8,1.52,"E3","8","treated","MAG","MAG46","FRANCE","5","F66009",42.82301667,2.9269,"DZA_1","5",1
"405","46","DZA","1",39.1,4.4,7,47.2,NA,NA,40,3.6,0.55,0.41,"C10","4","treated","MAG","MAG46","FRANCE","5","F66009",42.82301667,2.9269,"DZA_1","5",1
"569","46","DZA","1",49.8,4.3,4,49.5,NA,NA,67,4.3,0.4,0.34,"B2","7","treated","MAG","MAG46","FRANCE","5","F66009",42.82301667,2.9269,"DZA_1","5",1
"137","48","DZA","1",47.5,5.2,5,40.4,NA,NA,NA,1.5,0.5,1.38,"D1","3","treated","MAG","MAG48","FRANCE","4","ESP174",43.12226667,3.096033333,"DZA_1","4",1
"526","48","DZA","1",40.5,3.8,4,47.4,NA,NA,49,2.2,0.42,0.27,"D12","8","treated","MAG","MAG48","FRANCE","4","ESP174",43.12226667,3.096033333,"DZA_1","4",1
"563","48","DZA","1",38.9,4.3,3,27.1,NA,NA,43,1.1,0.16,0.04,"A1","10","treated","MAG","MAG48","FRANCE","4","ESP174",43.12226667,3.096033333,"DZA_1","4",1
"11","53","DZA","1",49.7,4.2,6,39.4,NA,NA,81,1.9,0.64,0.43,"A2","2","treated","MAG","MAG53","FRANCE","6","F20089",42.74198333,2.81485,"DZA_1","6",1
"35","53","DZA","1",52.4,2.7,7,46.7,NA,NA,46,2.3,0.6,1.74,"D10","3","treated","MAG","MAG53","FRANCE","6","F20089",42.74198333,2.81485,"DZA_1","6",1
"72","53","DZA","1",43.3,3.5,6,46.3,NA,NA,56,2.3,0.5,1.19,"C8","8","treated","MAG","MAG53","FRANCE","6","F20089",42.74198333,2.81485,"DZA_1","6",1
"286","54","DZA","1",45.9,4.9,5,48,NA,NA,48,3.1,0.57,0.74,"C3","1","treated","MAG","MAG54","FRANCE","7","F20089",42.5883,2.785,"DZA_1","7",1
"610","54","DZA","1",42.9,5.2,5,41.3,NA,NA,29,1.4,0.97,0.72,"F1","1","treated","MAG","MAG54","FRANCE","7","F20089",42.5883,2.785,"DZA_1","7",1
"669","54","DZA","1",56.8,4.4,5,52.1,NA,NA,57,2.1,0.59,1.05,"B8","9","treated","MAG","MAG54","FRANCE","7","F20089",42.5883,2.785,"DZA_1","7",1
"363","57","DZA","1",46.4,4.9,4,41.8,NA,NA,49,1.5,0.5,0.34,"B12","4","treated","MAG","MAG57","FRANCE","4","ESP174",43.12226667,3.096033333,"DZA_1","4",1
"550","57","DZA","1",48.1,4.9,4,44.6,NA,NA,27,2.2,0.94,1.29,"D12","4","treated","MAG","MAG57","FRANCE","4","ESP174",43.12226667,3.096033333,"DZA_1","4",1
"621","57","DZA","1",56.7,4.1,6,49.3,NA,NA,83,1.3,0.39,0.33,"B7","10","treated","MAG","MAG57","FRANCE","4","ESP174",43.12226667,3.096033333,"DZA_1","4",1
"514","59","DZA","1",49.6,4.9,4,49.5,NA,NA,75,1.7,0.61,0.63,"D2","7","treated","MAG","MAG59","FRANCE","4","ESP174",43.122,3.095283333,"DZA_1","4",1
"594","59","DZA","1",48.5,5.1,5,41,NA,NA,56,2,1.08,1.31,"E5","3","treated","MAG","MAG59","FRANCE","4","ESP174",43.122,3.095283333,"DZA_1","4",1
"638","59","DZA","1",42.7,5.1,4,49.1,NA,NA,53,1.2,0.2,0.13,"A1","6","treated","MAG","MAG59","FRANCE","4","ESP174",43.122,3.095283333,"DZA_1","4",1
"107","62","DZA","1",46.6,3,7,49.1,NA,NA,33,3.3,0.66,0.9,"D4","5","treated","MAG","MAG62","FRANCE","4","F20089",43.122,3.095283333,"DZA_1","4",1
"389","62","DZA","1",49.4,5.2,5,43.4,NA,NA,48,0.2,0.55,0.41,"E1","9","treated","MAG","MAG62","FRANCE","4","F20089",43.122,3.095283333,"DZA_1","4",1
"604","62","DZA","1",45.1,4.7,5,42.5,NA,NA,53,3.7,0.46,0.19,"A7","9","treated","MAG","MAG62","FRANCE","4","F20089",43.122,3.095283333,"DZA_1","4",1
"8","65","DZA","1",52.4,4.8,4,39.6,NA,NA,NA,2.1,0.25,0.41,"C11","10","treated","MAG","MAG65","FRANCE","4","ESP174",43.12226667,3.096033333,"DZA_1","4",1
"95","65","DZA","1",37.8,4.4,4,46.5,NA,NA,65,1.8,0.32,0.2,"A2","10","treated","MAG","MAG65","FRANCE","4","ESP174",43.12226667,3.096033333,"DZA_1","4",1
"446","65","DZA","1",56.1,4.1,7,49.7,NA,NA,65,2.5,0.99,1.14,"E11","8","treated","MAG","MAG65","FRANCE","4","ESP174",43.12226667,3.096033333,"DZA_1","4",1
"31","66","DZA","1",46.6,4.5,6,34.7,NA,NA,69,1.7,0.39,1.15,"C7","5","treated","MAG","MAG66","SPAIN","8","F20050",38.41155,-1.0165,"DZA_1","8",1
"129","66","DZA","1",NA,1.4,1,43.8,NA,NA,49,0.9,0.08,0.15,"B7","3","treated","MAG","MAG66","SPAIN","8","F20050",38.41155,-1.0165,"DZA_1","8",1
"549","66","DZA","1",48.4,4.8,3,38.5,NA,NA,42,1.9,0.6,0.64,"F2","4","treated","MAG","MAG66","SPAIN","8","F20050",38.41155,-1.0165,"DZA_1","8",1
"282","67","DZA","1",40.7,3.8,4,50,NA,NA,26,1.7,0.24,0.2,"B11","3","treated","MAG","MAG67","FRANCE","4","F20089",43.12198333,3.095533333,"DZA_1","4",1
