plant_ID,strain_ID,line,exp,height1,leaf1,chloro1,height2,leaf2,chloro2,nod,nod.weight,shoot,root
16,199,DZA,1,2.1,3,NA,NA,NA,36.2,38,2,0.36,0.3
554,199,DZA,1,4.5,5,49.1,NA,NA,48.7,21,3.2,0.27,0.09
614,199,DZA,1,4.3,4,4.7,NA,NA,52.2,51,2.2,0.42,0.39
308,200,DZA,1,4.6,4,46,NA,NA,39.8,52,2.5,0.29,0.17
424,200,DZA,1,4.6,6,46.6,NA,NA,38,45,2.8,0.24,0.04
590,200,DZA,1,5,5,50.7,NA,NA,48,46,1.6,0.47,0.58
20,201,DZA,1,4.4,3,48.7,NA,NA,43.7,34,3.2,0.25,0.2
196,201,DZA,1,3.5,3,45.8,NA,NA,35.1,49,2.8,0.35,0.44
365,201,DZA,1,4.7,5,50.3,NA,NA,42.2,57,1.3,0.28,0.43
393,204,DZA,1,2.1,4,39.5,NA,NA,38.3,23,3.2,0.46,0.48
495,204,DZA,1,4.6,4,45.3,NA,NA,49.4,34,2.7,0.5,0.41
603,204,DZA,1,4.8,6,51.6,NA,NA,49,35,3,0.64,1.35
219,205,DZA,1,5.9,7,50.3,NA,NA,39.2,62,NA,0.6,0.3
419,205,DZA,1,4.9,5,46.5,NA,NA,37.8,40,2.1,0.72,1.12
577,205,DZA,1,5,5,50,NA,NA,52.5,33,2.5,0.51,0.59
65,206,DZA,1,4.4,4,45,NA,NA,45.2,44,0.9,0.41,0.34
262,206,DZA,1,5.3,6,37.4,NA,NA,45.9,41,2.3,0.52,0.95
711,206,DZA,1,4.8,6,46.4,NA,NA,47.8,25,2.8,0.61,0.6
38,209,DZA,1,3.5,5,44.1,NA,NA,34.9,82,1.7,0.45,0.82
58,209,DZA,1,4.3,4,37.5,NA,NA,39.9,38,0.9,0.35,0.41
152,209,DZA,1,4.6,6,42.7,NA,NA,35.4,68,1.9,0.1,0.01
48,215,DZA,1,5.3,6,50.6,NA,NA,42.6,56,2.2,0.2,0.01
175,215,DZA,1,3.3,4,51.9,NA,NA,39,31,2.2,0.27,0.41
636,215,DZA,1,3.6,4,35.9,NA,NA,46,43,1.9,0.49,0.37
52,216,DZA,1,4,5,46.5,NA,NA,47.5,47,1.2,0.66,0.73
126,216,DZA,1,4.7,6,41.7,NA,NA,45.6,53,2.1,0.36,0.12
559,216,DZA,1,4.1,6,46.1,NA,NA,49.8,75,2,0.63,2.09
263,219,DZA,1,2,4,42.5,NA,NA,41.1,59,1.5,0.27,0.3
496,219,DZA,1,3.2,5,29.4,NA,NA,43.9,61,1.7,0.26,0.19
674,219,DZA,1,3.6,5,46.8,NA,NA,45.4,38,3.3,0.36,0.51
255,220,DZA,1,4.9,5,50,NA,NA,42.8,67,0.4,0.27,0.2
583,220,DZA,1,1.9,3,34.8,NA,NA,47.7,27,8.2,0.22,0.54
679,220,DZA,1,4.3,4,43.4,NA,NA,46.9,74,1.9,0.43,NA
336,221,DZA,1,3.8,4,49.6,NA,NA,47,51,3.3,0.57,0.99
467,221,DZA,1,5,5,49.4,NA,NA,42.2,56,3.5,0.39,0.18
637,221,DZA,1,0.4,1,NA,NA,NA,29.6,12,1.6,0.15,0.13
344,225,DZA,1,2.9,4,32.8,NA,NA,27.2,82,0.7,0.1,0.03
347,225,DZA,1,0.4,1,NA,NA,NA,NA,3,0.4,0.01,0.01
466,225,DZA,1,2.1,4,NA,NA,NA,18.1,92,1,0.16,0.15
280,230,DZA,1,4.5,4,50.7,NA,NA,37.9,101,1.7,0.4,0.32
329,230,DZA,1,4.5,5,38.3,NA,NA,44.3,41,1.4,0.36,0.42
417,230,DZA,1,4.5,5,41.6,NA,NA,40.2,87,1.1,0.34,0.33
186,231,DZA,1,4.4,4,45.5,NA,NA,37.3,51,1.9,0.39,0.27
201,231,DZA,1,3.2,7,43,NA,NA,45.6,64,1.9,0.36,0.94
349,231,DZA,1,3.5,4,39.9,NA,NA,40.4,34,1.4,0.14,0.08
133,238,DZA,1,3.3,5,38.1,NA,NA,40.7,NA,2.1,0.36,0.19
147,238,DZA,1,3.9,5,43.5,NA,NA,35.8,67,0.2,0.1,0.08
343,238,DZA,1,4.1,5,38.1,NA,NA,38.4,72,2.5,0.37,0.33
249,242,DZA,1,2.8,4,39.8,NA,NA,41.6,26,12.3,0.41,0.8
442,242,DZA,1,3.3,4,37.9,NA,NA,43.8,49,1,0.12,0.17
502,242,DZA,1,4.5,5,51.6,NA,NA,45.3,41,5,0.47,0.71
100,245,DZA,1,4.6,5,46,NA,NA,44.9,55,2.2,0.27,0.05
164,245,DZA,1,3.9,5,44.7,NA,NA,41.6,47,2.3,0.51,1.92
484,245,DZA,1,2.3,4,43.4,NA,NA,49.6,15,10.8,0.38,0.63
341,246,DZA,1,4.7,6,49.9,NA,NA,48.6,44,2.1,0.58,0.33
358,246,DZA,1,4.9,4,46.8,NA,NA,35.7,41,2.4,0.64,0.47
439,246,DZA,1,5.3,5,52.4,NA,NA,46.9,59,2.4,0.63,0.34
134,247,DZA,1,4.3,5,37.7,NA,NA,49.7,42,2.7,0.25,0.4
414,247,DZA,1,5.1,5,53.7,NA,NA,43.1,54,1.9,0.43,0.56
587,247,DZA,1,3.5,4,49.2,NA,NA,42.4,32,3.7,0.49,0.4
360,248,DZA,1,5.3,6,52.1,NA,NA,34.9,59,2.4,0.63,0.8
369,248,DZA,1,4.8,5,44.4,NA,NA,51.4,28,5.1,0.59,0.74
582,248,DZA,1,5,4,46.5,NA,NA,47.9,38,0.5,0.23,0.07
367,258,DZA,1,5.6,8,49.9,NA,NA,44.1,54,3.2,0.45,0.29
461,258,DZA,1,4.5,4,46.8,NA,NA,48.7,50,3.1,0.73,1.15
537,258,DZA,1,4.4,6,51.4,NA,NA,53.2,56,3.4,0.66,1.27
128,259,DZA,1,5.2,6,51.1,NA,NA,42.4,48,2.9,0.26,0.13
489,259,DZA,1,4.8,5,50.2,NA,NA,39.7,59,2.6,0.47,0.37
578,259,DZA,1,5.1,5,51.8,NA,NA,49.5,67,2.6,0.85,1.51
19,261,DZA,1,NA,NA,53.2,NA,NA,36.4,55,1.5,0.63,0.58
225,261,DZA,1,4.6,4,53.3,NA,NA,48.8,45,1.8,0.35,0.24
330,261,DZA,1,5.6,3,44.1,NA,NA,50.9,54,2.6,0.4,0.35
125,276,DZA,1,4.2,5,48,NA,NA,49.6,71,3,0.47,0.41
197,276,DZA,1,4.5,4,45.1,NA,NA,45.1,22,2.7,0.33,0.22
372,276,DZA,1,3.7,5,48.6,NA,NA,51.9,21,1.9,0.41,0.53
21,277,DZA,1,0.1,0,NA,NA,NA,NA,23,0.5,0.01,0.01
287,277,DZA,1,2.9,5,48.2,NA,NA,46.9,46,3.6,0.45,0.44
676,277,DZA,1,4.1,4,50.1,NA,NA,51.8,22,1.5,0.3,0.22
24,278,DZA,1,4.2,5,51.1,NA,NA,51.2,28,2.7,0.44,0.5
471,278,DZA,1,3.5,5,44.5,NA,NA,41,54,3.6,0.59,0.73
572,278,DZA,1,4,6,46,NA,NA,51.6,22,3.5,0.48,0.43
455,281,DZA,1,4.9,8,51.1,NA,NA,52.3,49,3.1,0.43,0.2
681,281,DZA,1,3.6,4,44.6,NA,NA,33.9,70,2.2,0.34,0.24
704,281,DZA,1,3.8,6,47.8,NA,NA,49.4,55,0.5,0.46,1.18
345,282,DZA,1,3.2,4,46.3,NA,NA,39.1,27,3,0.36,0.41
432,282,DZA,1,5,5,42.4,NA,NA,41,47,2.1,0.45,1.3
709,282,DZA,1,5.1,4,38.5,NA,NA,38.2,27,2,0.27,0.2
300,283,DZA,1,5.2,3,47.3,NA,NA,38.1,52,1,0.37,0.67
319,283,DZA,1,4.4,5,55.1,NA,NA,52.9,44,2.5,0.48,0.33
700,283,DZA,1,4.3,6,49.4,NA,NA,46.8,39,3.7,0.61,1.03
