rack,pos,plant_ID,strain_ID,exp
B3,9,253,755A,1
E4,6,254,123,1
C2,7,255,220,1
B7,8,256,8,1
D2,9,257,541,1
A4,6,258,522,1
A3,9,259,40,1
C1,5,262,206,1
E9,4,263,219,1
E6,1,265,71,1
C1,1,267,530,1
A2,5,269,182,1
A5,5,270,32,1
C5,2,271,319,1
E3,4,272,144A,1
D6,4,273,303,1
D8,7,274,755B,1
C6,3,275,722A,1
A10,8,276,158B,1
C6,10,277,540,1
C3,8,279,16,1
A4,4,280,230,1
B1,8,281,513,1
B11,3,282,67,1
A3,5,283,146,1
E8,10,284,421,1
A11,9,285,714A,1
C3,1,286,54,1
D3,10,287,277,1
C3,5,289,117B,1
C12,10,290,38,1
A7,5,292,87,1
F2,5,294,6A,1
C9,1,295,358,1
A8,9,297,336,1
C4,9,298,71,1
A6,5,299,726A,1
E2,9,300,283,1
E12,10,302,144B,1
B7,6,303,183,1
E12,3,304,5,1
C11,8,305,525,1
A7,8,306,18,1
E9,10,307,498,1
E2,4,308,200,1
B5,2,310,486,1
D8,8,311,148B,1
A10,9,312,739A,1
D10,5,313,717A,1
E7,3,314,320,1
D11,6,317,78,1
D8,6,318,420,1
B4,1,319,283,1
E1,7,320,34,1
D10,2,321,169,1
D11,10,322,739A,1
B4,4,323,121,1
D4,9,324,749A,1
A4,3,325,523,1
C5,3,326,15,1
E12,6,328,79,1
D9,1,329,230,1
C2,3,330,261,1
C11,1,333,182,1
C1,4,334,726B,1
D3,9,336,221,1
B4,7,337,417,1
D2,4,338,498,1
E1,10,339,710A,1
E6,5,340,24,1
A3,8,341,246,1
E7,10,342,726B,1
E2,10,343,238,1
A12,3,344,225,1
E4,5,345,282,1
B3,7,346,176B,1
B11,9,347,225,1
D6,8,348,145,1
A10,1,349,231,1
D6,9,350,753A,1
C4,4,351,702A,1
E3,8,352,46,1
D1,2,353,243B,1
A9,4,354,141,1
E6,6,355,533,1
F1,10,356,191,1
C1,9,357,755A,1
E4,1,358,246,1
D3,4,359,41,1
E10,3,360,248,1
C9,5,361,243A,1
